,POS_ID,POS_LONGITUD,POS_LATITUD,POS_ID_2,POS_LONGITUD_2,POS_LATITUD_2
20015,53114628,2.09492,41.47936,53114613,2.09492,41.47936
20028,53114628,2.09492,41.47936,53114600,2.09492,41.47936
20043,53114628,2.09492,41.47936,53114585,2.09492,41.47936
20059,53114628,2.09492,41.47936,53114569,2.09492,41.47936
20071,53114628,2.09492,41.47936,53114557,2.09492,41.47936
20085,53114628,2.09492,41.47936,53114543,2.09492,41.47936
20098,53114628,2.09492,41.47936,53114530,2.09492,41.47936
20112,53114628,2.09492,41.47936,53114516,2.09492,41.47936
20120,53114628,2.09492,41.47936,53114508,2.09492,41.47936
20135,53114628,2.09492,41.47936,53114493,2.09492,41.47936
20152,53114628,2.09492,41.47936,53114476,2.09492,41.47936
20167,53114628,2.09492,41.47936,53114461,2.09492,41.47936
20188,53114628,2.09492,41.47936,53114440,2.09492,41.47936
20228,53114628,2.09492,41.47936,53114400,2.09492,41.47936
20315,53114628,2.09492,41.47936,53114312,2.09492,41.47936
20376,53114628,2.09492,41.47936,53114251,2.09492,41.47936
20454,53114628,2.09492,41.47936,53114173,2.09492,41.47936
20521,53114628,2.09492,41.47936,53114106,2.09492,41.47936
20575,53114628,2.09492,41.47936,53114052,2.09492,41.47936
20640,53114628,2.09492,41.47936,53113987,2.09492,41.47936
20677,53114628,2.09492,41.47936,53113949,2.09492,41.47936
20697,53114628,2.09492,41.47936,53113929,2.09492,41.47936
20727,53114628,2.09492,41.47936,53113898,2.09492,41.47936
20747,53114628,2.09492,41.47936,53113877,2.09492,41.47936
20774,53114628,2.09492,41.47936,53113850,2.09492,41.47936
20803,53114628,2.09492,41.47936,53113820,2.09492,41.47936
20829,53114628,2.09492,41.47936,53113794,2.09492,41.47936
20869,53114628,2.09492,41.47936,53113753,2.09492,41.47936
20905,53114628,2.09492,41.47936,53113717,2.09492,41.47936
60012,53114626,2.09539,41.47969,53114614,2.09539,41.47969
60025,53114626,2.09539,41.47969,53114601,2.09539,41.47969
60038,53114626,2.09539,41.47969,53114588,2.09539,41.47969
60054,53114626,2.09539,41.47969,53114572,2.09539,41.47969
60067,53114626,2.09539,41.47969,53114559,2.09539,41.47969
60081,53114626,2.09539,41.47969,53114545,2.09539,41.47969
60094,53114626,2.09539,41.47969,53114532,2.09539,41.47969
60106,53114626,2.09539,41.47969,53114520,2.09539,41.47969
60117,53114626,2.09539,41.47969,53114509,2.09539,41.47969
60132,53114626,2.09539,41.47969,53114494,2.09539,41.47969
60146,53114626,2.09539,41.47969,53114480,2.09539,41.47969
60164,53114626,2.09539,41.47969,53114462,2.09539,41.47969
60184,53114626,2.09539,41.47969,53114442,2.09539,41.47969
60225,53114626,2.09539,41.47969,53114401,2.09539,41.47969
60312,53114626,2.09539,41.47969,53114313,2.09539,41.47969
60371,53114626,2.09539,41.47969,53114254,2.09539,41.47969
60440,53114626,2.09539,41.47969,53114185,2.09539,41.47969
60506,53114626,2.09539,41.47969,53114119,2.09539,41.47969
60567,53114626,2.09539,41.47969,53114058,2.09539,41.47969
60626,53114626,2.09539,41.47969,53113999,2.09539,41.47969
60672,53114626,2.09539,41.47969,53113952,2.09539,41.47969
60694,53114626,2.09539,41.47969,53113930,2.09539,41.47969
60721,53114626,2.09539,41.47969,53113902,2.09539,41.47969
60743,53114626,2.09539,41.47969,53113879,2.09539,41.47969
60771,53114626,2.09539,41.47969,53113851,2.09539,41.47969
60798,53114626,2.09539,41.47969,53113823,2.09539,41.47969
60825,53114626,2.09539,41.47969,53113796,2.09539,41.47969
60863,53114626,2.09539,41.47969,53113757,2.09539,41.47969
60901,53114626,2.09539,41.47969,53113719,2.09539,41.47969
60958,53114626,2.09539,41.47969,53113662,2.09539,41.47969
