,POS_LATITUD,POS_LONGITUD,POS_FECHAHORA
0,"41,52687","2,10266",2015-04-16 14:50:25.000
12,"41,52475","2,10048",2015-04-16 14:50:07.000
24,"41,52253","2,09858",2015-04-16 14:49:47.000
26,"41,52229","2,09854",2015-04-16 14:49:45.000
38,"41,52145","2,09877",2015-04-16 14:49:27.000
54,"41,52114","2,09924",2015-04-16 14:49:07.000
56,"41,52097","2,09935",2015-04-16 14:49:05.000
64,"41,51998","2,09913",2015-04-16 14:48:56.000
65,"41,51872","2,09921",2015-04-16 14:48:47.000
82,"41,51599","2,09984",2015-04-16 14:48:27.000
87,"41,51503","2,10041",2015-04-16 14:48:20.000
92,"41,51445","2,10178",2015-04-16 14:48:09.000
93,"41,51428","2,10202",2015-04-16 14:48:07.000
104,"41,51298","2,10226",2015-04-16 14:47:47.000
108,"41,5129","2,10227",2015-04-16 14:47:45.000
117,"41,51014","2,10482",2015-04-16 14:47:27.000
131,"41,50693","2,10949",2015-04-16 14:47:07.000
140,"41,50571","2,1124",2015-04-16 14:46:57.000
147,"41,50489","2,11585",2015-04-16 14:46:47.000
163,"41,5048","2,12241",2015-04-16 14:46:27.000
176,"41,50554","2,12852",2015-04-16 14:46:07.000
177,"41,50594","2,13151",2015-04-16 14:45:52.000
178,"41,5064","2,13191",2015-04-16 14:45:47.000
179,"41,5067","2,13188",2015-04-16 14:45:44.000
254,"41,5072","2,13106",2015-04-16 14:45:36.000
290,"41,50706","2,12968",2015-04-16 14:45:28.000
359,"41,50504","2,12508",2015-04-16 14:45:07.000
414,"41,50286","2,12208",2015-04-16 14:44:48.000
506,"41,50139","2,11932",2015-04-16 14:44:27.000
555,"41,49831","2,11552",2015-04-16 14:44:07.000
613,"41,49517","2,1107",2015-04-16 14:43:47.000
661,"41,49283","2,10504",2015-04-16 14:43:27.000
663,"41,49127","2,10172",2015-04-16 14:43:14.000
686,"41,49112","2,09984",2015-04-16 14:43:07.000
687,"41,49154","2,09839",2015-04-16 14:43:01.000
717,"41,49159","2,09507",2015-04-16 14:42:47.000
739,"41,48977","2,08966",2015-04-16 14:42:27.000
762,"41,48801","2,08463",2015-04-16 14:42:06.000
765,"41,48793","2,0842",2015-04-16 14:42:03.000
779,"41,48756","2,0837",2015-04-16 14:41:56.000
792,"41,48713","2,08397",2015-04-16 14:41:47.000
815,"41,48597","2,08553",2015-04-16 14:41:27.000
853,"41,48497","2,08775",2015-04-16 14:41:07.000
889,"41,48396","2,0899",2015-04-16 14:40:47.000
941,"41,48221","2,09157",2015-04-16 14:40:27.000
985,"41,48089","2,09325",2015-04-16 14:40:08.000
991,"41,48075","2,0934",2015-04-16 14:40:06.000
1005,"41,48022","2,09335",2015-04-16 14:39:59.000
1028,"41,47936","2,09395",2015-04-16 14:39:47.000
1045,"41,47907","2,09429",2015-04-16 14:39:41.000
1061,"41,47911","2,09465",2015-04-16 14:39:28.000
1069,"41,4791","2,09475",2015-04-16 14:39:23.000
1083,"41,47908","2,09472",2015-04-16 14:39:16.000
6103,"41,47908","2,09472",2015-04-16 13:50:34.000
6127,"41,47908","2,09472",2015-04-16 13:50:18.000
6159,"41,47908","2,09472",2015-04-16 13:49:58.000
6191,"41,47908","2,09472",2015-04-16 13:49:38.000
6234,"41,47918","2,09458",2015-04-16 13:49:18.000
6246,"41,479","2,09433",2015-04-16 13:49:09.000
6258,"41,47846","2,09494",2015-04-16 13:48:58.000
6285,"41,47742","2,09647",2015-04-16 13:48:41.000
6290,"41,47728","2,09668",2015-04-16 13:48:38.000
6296,"41,47705","2,09671",2015-04-16 13:48:35.000
6305,"41,47694","2,09624",2015-04-16 13:48:29.000
6335,"41,47734","2,09603",2015-04-16 13:48:18.000
6371,"41,47755","2,09579",2015-04-16 13:47:58.000
6394,"41,47773","2,09557",2015-04-16 13:47:38.000
6447,"41,47773","2,09557",2015-04-16 13:47:18.000
6493,"41,47871","2,09438",2015-04-16 13:46:58.000
6521,"41,48013","2,09317",2015-04-16 13:46:42.000
6523,"41,48039","2,09276",2015-04-16 13:46:37.000
6528,"41,48046","2,09267",2015-04-16 13:46:36.000
6554,"41,48166","2,09168",2015-04-16 13:46:21.000
6556,"41,48187","2,09164",2015-04-16 13:46:17.000
6561,"41,48193","2,0916",2015-04-16 13:46:15.000
6569,"41,48248","2,09125",2015-04-16 13:45:58.000
6620,"41,48364","2,09002",2015-04-16 13:45:42.000
6623,"41,4838","2,08986",2015-04-16 13:45:38.000
6626,"41,48386","2,08983",2015-04-16 13:45:37.000
6657,"41,48478","2,08791",2015-04-16 13:45:18.000
6688,"41,48559","2,08612",2015-04-16 13:44:58.000
6721,"41,48686","2,08417",2015-04-16 13:44:38.000
6761,"41,48718","2,08288",2015-04-16 13:44:18.000
6799,"41,48709","2,08001",2015-04-16 13:43:57.000
6817,"41,48722","2,07924",2015-04-16 13:43:51.000
6851,"41,48684","2,07795",2015-04-16 13:43:37.000
6863,"41,48654","2,07731",2015-04-16 13:43:29.000
6883,"41,48669","2,0763",2015-04-16 13:43:18.000
6897,"41,48712","2,07511",2015-04-16 13:43:09.000
6910,"41,48662","2,0739",2015-04-16 13:43:00.000
6921,"41,48644","2,07352",2015-04-16 13:42:57.000
6963,"41,48643","2,07081",2015-04-16 13:42:38.000
6987,"41,4866","2,06831",2015-04-16 13:42:18.000
6988,"41,48658","2,06824",2015-04-16 13:42:17.000
7024,"41,48735","2,06645",2015-04-16 13:41:57.000
7029,"41,48742","2,0662",2015-04-16 13:41:55.000
7071,"41,48757","2,06391",2015-04-16 13:41:38.000
7102,"41,487","2,06192",2015-04-16 13:41:17.000
7139,"41,48659","2,05976",2015-04-16 13:40:58.000
7143,"41,48662","2,05959",2015-04-16 13:40:56.000
7171,"41,48643","2,05746",2015-04-16 13:40:38.000
7209,"41,48504","2,05512",2015-04-16 13:40:17.000
7225,"41,48475","2,0545",2015-04-16 13:40:10.000
7237,"41,48401","2,05329",2015-04-16 13:39:57.000
7267,"41,48303","2,05198",2015-04-16 13:39:38.000
7313,"41,48191","2,05124",2015-04-16 13:39:17.000
7327,"41,48144","2,05109",2015-04-16 13:39:11.000
7346,"41,48179","2,0501",2015-04-16 13:38:59.000
7347,"41,48191","2,04999",2015-04-16 13:38:57.000
7368,"41,48238","2,04862",2015-04-16 13:38:44.000
7376,"41,48202","2,04816",2015-04-16 13:38:37.000
7416,"41,4797","2,04635",2015-04-16 13:38:17.000
